flower_id,sepal_length,sepal_width,petal_length,petal_width,variety
2333,6,2.7,5.1,1.6,1
2360,5.4,3,4.5,1.5,1
2388,6,3.4,4.5,1.6,1
2415,6.7,3.1,4.7,1.5,1
2443,6.3,2.3,4.4,1.3,1
2470,5.6,3,4.1,1.3,1
2498,5.5,2.5,4,1.3,1
2525,5.5,2.6,4.4,1.2,1
2553,6.1,3,4.6,1.4,1
2580,5.8,2.6,4,1.2,1
2608,5,2.3,3.3,1,1
2635,5.6,2.7,4.2,1.3,1
2663,5.7,3,4.2,1.2,1
2690,5.7,2.9,4.2,1.3,1
2718,6.2,2.9,4.3,1.3,1
2745,5.1,2.5,3,1.1,1
2773,5.7,2.8,4.1,1.3,1
2800,6.3,3.3,6,2.5,2
2828,5.8,2.7,5.1,1.9,2
2855,7.1,3,5.9,2.1,2
2883,6.3,2.9,5.6,1.8,2
2910,6.5,3,5.8,2.2,2
2938,7.6,3,6.6,2.1,2
2965,4.9,2.5,4.5,1.7,2
2993,7.3,2.9,6.3,1.8,2
3020,6.7,2.5,5.8,1.8,2
3048,7.2,3.6,6.1,2.5,2
3075,6.5,3.2,5.1,2,2
3103,6.4,2.7,5.3,1.9,2
3130,6.8,3,5.5,2.1,2
3158,5.7,2.5,5,2,2
3185,5.8,2.8,5.1,2.4,2
3213,6.4,3.2,5.3,2.3,2
3240,6.5,3,5.5,1.8,2
3268,7.7,3.8,6.7,2.2,2
3295,7.7,2.6,6.9,2.3,2
3323,6,2.2,5,1.5,2
3350,6.9,3.2,5.7,2.3,2
3378,5.6,2.8,4.9,2,2
3405,7.7,2.8,6.7,2,2
3433,6.3,2.7,4.9,1.8,2
3460,6.7,3.3,5.7,2.1,2
3488,7.2,3.2,6,1.8,2
3515,6.2,2.8,4.8,1.8,2
3543,6.1,3,4.9,1.8,2
3570,6.4,2.8,5.6,2.1,2
3598,7.2,3,5.8,1.6,2
3625,7.4,2.8,6.1,1.9,2
3653,7.9,3.8,6.4,2,2
3680,6.4,2.8,5.6,2.2,2
3708,6.3,2.8,5.1,1.5,2
3735,6.1,2.6,5.6,1.4,2
3763,7.7,3,6.1,2.3,2
3790,6.3,3.4,5.6,2.4,2
3818,6.4,3.1,5.5,1.8,2
3845,6,3,4.8,1.8,2
3873,6.9,3.1,5.4,2.1,2
3900,6.7,3.1,5.6,2.4,2
3928,6.9,3.1,5.1,2.3,2
3955,5.8,2.7,5.1,1.9,2
3983,6.8,3.2,5.9,2.3,2
4010,6.7,3.3,5.7,2.5,2
4038,6.7,3,5.2,2.3,2
4065,6.3,2.5,5,1.9,2
4093,6.5,3,5.2,2,2
4120,6.2,3.4,5.4,2.3,2
4148,5.9,3,5.1,1.8,2
